transaction_id,sender_wallet,receiver_wallet,amount,timestamp,label,log_amount,is_round_amount,fee_ratio,sender_tx_count,receiver_tx_count,time_since_prev_out,time_since_prev_in,sender_repeat_count,burstiness_score,amount_deviation,balance_ratio,unique_counterparties,relay_pattern_score,fan_in_ratio,weighted_in,in_degree,suspicious_neighbor_ratio_1hop,suspicious_neighbor_ratio_2hop,heuristic_mean,heuristic_max,heuristic_triggered_count,heuristic_top_confidence
elliptic_232029206,232029206,5119722,79.08346685859425,2019-01-01 01:00:00+00:00,0,4.383069426509863,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.9311969384335316,60,0.0922522535187962,0.9672131147540984,2219.7522261488907,59,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_3881097,3881097,232457116,65.35089491143844,2019-01-01 01:00:00+00:00,0,4.194957248425592,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.8031004270088963,2,0.0054091778137839,0.3333333333333333,598.4483598933559,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232470342,232470342,230516010,56.90549372053148,2019-01-01 01:00:00+00:00,0,4.058812262988584,False,0.0,1,2,0.0,0.0,1,0.0,0.0,0.8681161948806805,7,0.0249733809649252,0.75,806.0585930230567,6,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_7089694,7089694,60492027,37.28290242253253,2019-01-01 01:00:00+00:00,0,3.645003384570804,False,0.0,1,3,0.0,0.0,1,0.0,0.0,0.7008999782855929,5,0.057467187236565,0.6666666666666666,212.0176640490524,4,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_38062994,38062994,80044108,46.89234855915849,2019-01-01 01:00:00+00:00,0,3.868955753852803,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_206222134,206222134,192431356,21.40322015009165,2019-01-01 01:00:00+00:00,0,3.10920470522951,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232468876,232468876,232468893,264.49733508949424,2019-01-01 01:00:00+00:00,0,5.581604803303914,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.075252393211497,4,0.0188259291181581,0.6,307.54488085751467,3,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232457903,232457903,11011839,57.50672165767903,2019-01-01 01:00:00+00:00,0,4.069141647768562,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-0.162417706042495,2,0.0359805749375224,0.3333333333333333,41.43657791311524,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230452144,230452144,2706899,73.77654302986247,2019-01-01 01:00:00+00:00,0,4.314504239941515,False,0.0,1,2,0.0,0.0,1,0.0,0.0,-1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232047899,232047899,232438397,53.93124498611803,2019-01-01 01:00:00+00:00,0,4.006082312055229,False,0.0,1,51,0.0,0.0,1,0.0,0.0,-0.1229730810553046,2,0.0370529298430104,0.3333333333333333,42.11957919826329,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230473483,230473483,230473461,45.018436382266,2019-01-01 01:00:00+00:00,0,3.829042107112695,False,0.0,1,16,0.0,0.0,1,0.0,0.0,0.9189836219615314,32,0.1002178978382925,0.9393939393939394,1066.323182984872,31,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232054853,232054853,105586706,29.33782271246186,2019-01-01 01:00:00+00:00,0,3.412395208407329,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.9040379080661312,12,0.0587636307779117,0.7692307692307693,1164.2165246490547,10,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230444451,230444451,16555074,253.69843259607424,2019-01-01 01:00:00+00:00,0,5.540080228044506,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-0.0782125749843917,5,0.0229001569668593,0.5,433.7846364231403,3,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_3876606,3876606,232460526,42.40477462669568,2019-01-01 01:00:00+00:00,0,3.7705694494952073,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230345439,230345439,29115493,74.53370428299999,2019-01-01 01:00:00+00:00,0,4.324578970986111,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_2912780,232033953,2912780,62.82373179748527,2019-01-01 01:00:00+00:00,0,4.156125092933823,False,0.0,2,1,0.0,0.0,1,0.0,0.0,1.0,2,0.0,0.6666666666666666,49.228949173089255,2,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_226889376,226889376,195237909,41.73060225642124,2019-01-01 01:00:00+00:00,0,3.754915344020011,False,0.0,1,11,0.0,0.0,1,0.0,0.0,0.6897249256751871,6,0.0665951326908296,0.7142857142857143,227.26040417379787,5,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232440097,232440097,232440030,46.26368851872069,2019-01-01 01:00:00+00:00,0,3.8557423160835302,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.3255778965698176,5,0.0783474192401714,0.5,181.86273137341087,3,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_231179652,231179652,232465409,43.39170965616948,2019-01-01 01:00:00+00:00,0,3.793052732548289,False,0.0,2,1,0.0,0.0,1,0.0,0.0,-0.2452463440335122,3,0.0512313264379473,0.25,52.600116689439375,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_11343564,11343564,230457870,28.500322003702767,2019-01-01 01:00:00+00:00,0,3.3844011786659567,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230621237,230621237,21696461,68.66627841591328,2019-01-01 01:00:00+00:00,0,4.243716390303851,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-0.2924512275766476,2,0.0335269742585105,0.3333333333333333,37.59116008667979,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230523203,230523203,230523200,76.50766557473833,2019-01-01 01:00:00+00:00,0,4.350376842109752,False,0.0,2,3,0.0,0.0,1,0.0,0.0,0.0114872630923907,4,0.0463125338222861,0.4,156.57163811539814,2,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230434020,230434020,3877856,42.12508766107853,2019-01-01 01:00:00+00:00,0,3.76410490807012,False,0.0,2,1,0.0,0.0,1,0.0,0.0,-1.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_3912536,3912536,232438397,53.9311660773191,2019-01-01 01:00:00+00:00,0,4.006080875553005,False,0.0,1,51,0.0,0.0,1,0.0,0.0,-0.1201963758785606,2,0.0369623066253205,0.3333333333333333,42.35760478220334,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230877155,230877155,232009687,59.29148076833057,2019-01-01 01:00:00+00:00,0,4.099190812961531,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_231573972,231573972,232875618,37.1744639461884,2019-01-01 01:00:00+00:00,0,3.6421668089940153,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.7662924315415883,8,0.0788778153155111,0.7777777777777778,280.9535640967167,7,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_60492027,60492027,232470342,36.26931399130234,2019-01-01 01:00:00+00:00,0,3.618170306863552,False,0.0,1,4,0.0,0.0,1,0.0,0.0,0.7881897194994477,9,0.0837574005673099,0.8,306.2005029183427,8,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230528720,230528720,230528710,152.06532243420796,2019-01-01 01:00:00+00:00,0,5.030864774292204,False,0.0,1,8,0.0,0.0,1,0.0,0.0,-4.001907054100911e-05,2,0.0117856428969424,0.3333333333333333,152.05315189553093,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232900729,232900729,232383592,24.385490752536104,2019-01-01 01:00:00+00:00,0,3.2341777805952394,False,0.0,1,1,0.0,0.0,1,0.0,0.0,-0.0401331062289091,3,0.075882677982334,0.25,45.00736515653063,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_232346245,232346245,232029206,235.8537708756336,2019-01-01 01:00:00+00:00,0,5.467442950187223,False,0.0,2,10,0.0,0.0,1,0.0,0.0,-0.4763732074595381,4,0.0224748088270311,0.4,167.30099534208142,2,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_5119722,5119722,230404562,23.4045618814708,2019-01-01 01:00:00+00:00,0,3.194770077179234,False,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0594102503998072,4,0.0717781538736393,0.2,79.08346685859425,1,0.0,0.0,0.0,0.0,0.0,0.0
elliptic_230451730,230451730,2717498,29.873487907282403,2019-01-01 01:00:00+00:00,0,3.4298978190859253,False,0.0,1,7,0.0,0.0,1,0.0,0.0,0.944619498081284,16,0.0499518563305887,0.8823529411764706,1048.971479988778,15,0.0,0.0,0.0,0.0,0.0,0.0
