node_id,label,split
232029206,0,train
3881097,0,train
232470342,0,train
7089694,0,train
38062994,0,train
206222134,0,train
232468876,0,train
232457903,0,train
230452144,0,train
232047899,0,train
230473483,0,train
232054853,0,train
230444451,0,train
3876606,0,train
230345439,0,train
226889376,0,train
232440097,0,train
231179652,0,train
11343564,0,train
231253425,0,train
213736040,0,train
230621237,0,train
230523203,0,train
230434020,0,train
3912536,0,train
230877155,0,train
231573972,0,train
230555001,0,train
60492027,0,train
230556839,0,train
230528720,0,train
232900729,0,train
232346245,0,train
5119722,0,train
230451730,0,train
232454798,0,train
230579563,0,train
230438854,0,train
232892365,0,train
14847524,0,train
231179638,0,train
230946408,0,train
230468668,0,train
230468013,0,train
232034707,0,train
232345690,0,train
232686009,0,train
232447731,0,train
213736062,0,train
232919404,0,train
230945818,0,train
230393704,0,train
232439983,0,train
230405614,0,train
230968952,0,train
3880165,0,train
3898178,0,train
230580831,0,train
230456624,0,train
230436742,0,train
230439442,0,train
32976149,0,train
232001654,0,train
227338369,0,train
231994045,0,train
3913226,0,train
232458515,0,train
230520418,0,train
231995676,0,train
230473477,0,train
231993125,0,train
230531168,0,train
232444501,0,train
230331217,0,train
232339043,0,train
34984461,0,train
230465357,0,train
230468734,0,train
28359967,0,train
230464782,0,train
3897291,0,train
232349132,0,train
92491279,0,train
232037102,0,train
219821009,0,train
1494462,0,train
233229832,0,train
10983754,0,train
232348190,0,train
230418063,0,train
293323,0,train
230468406,0,train
230451676,0,train
230529053,0,train
231997273,0,train
232472206,0,train
230412050,0,train
3903393,0,train
232925804,0,train
232451376,0,train
227496946,0,train
24138725,0,train
232033953,0,train
95679861,0,train
230528695,0,train
3402165,0,train
71367715,0,train
3878742,0,train
231028826,0,train
232472197,0,train
16464132,0,train
230649107,0,train
232051527,0,train
4454658,0,train
219834363,0,train
230333626,0,train
230847053,0,train
82706446,0,train
230465736,0,train
227105852,0,train
232009733,0,train
230391409,0,train
230459282,0,train
3401466,0,train
232040293,0,train
230527735,0,train
3094131,0,train
230345455,0,train
13272601,0,train
3876512,0,train
3846528,0,train
230578501,0,train
230521268,0,train
40587631,0,train
